Gen #1 scored 0.307692 pts: {'neurons': [6, 4, 4], 'weights': [0.41411488335904956, -0.17948596848117893, 0.6083156253001625, -0.7525441145060092, -0.6812726620767187, -0.08988360227029135, -0.0355109993843572, -0.4131140083543643, 0.8084789086386885, -0.5296903540616307, 0.15663281621056901, -0.9154731786676535, 0.1519765196953209, 0.6832700775093294, -0.717190915712284, 0.517286916447746, -0.6643012602704592, -0.9543340357583947, 0.06260421689888851, 0.04147166250221068, -0.1803522955547301, -0.18419024723435995, -0.8734280747205718, -0.1615642351574207, 0.675146557391918, -0.4987883843145027, 0.18681468314411798, -0.26783245074551876, -0.082559887829458, -0.6944840774457941, 0.8340158521566776, 0.38551948270061454, 0.8142013254278324, -0.6962445236501398, -0.33978907310137063, 0.12196592393589922, -0.0683761229680353, 0.7079013578234983, 0.6666802994493972, 0.1711360743779604]}
Gen #2 scored 1.282051 pts: {'neurons': [6, 4, 4], 'weights': [0.43784581084268526, -0.10893886048454449, 0.301626204113574, 0.9986519659471282, -0.2919922678294795, -0.9646277518651525, 0.04744540831757149, -0.9572391920844134, 0.12101097644968473, 0.8152541464016692, -0.009182575870643417, -0.39476585690025945, -0.3903963842822271, -0.03882516989607976, -0.11797297448614463, 0.5403859274316439, -0.9755669669966534, 0.976216313745276, 0.7724930299398804, -0.6859420613223313, -0.37963210182615637, -0.03354697110078941, -0.43021582871830466, -0.8634422539080007, 0.8643290921714835, -0.15269440089944153, -0.27258532360532084, 0.5332278734364819, 0.3667636379531798, -0.12930561126241646, -0.9090793541553011, -0.45434958419438964, 0.6945689283344683, 0.0811981685271086, -0.17274014637543744, 0.15779287124993757, -0.6324235427638178, -0.4813030312645279, 0.04653798462723202, -0.268706200606865]}
Gen #3 scored 1.717949 pts: {'neurons': [6, 4, 4], 'weights': [0.43784581084268526, -0.13877474855911065, -0.6888140301991252, 0.9986519659471282, -0.5546716298873449, -0.9646277518651525, 0.6481130599445912, -0.6577945712987032, 0.12101097644968473, 0.8152541464016692, 0.47120778102564187, -0.39476585690025945, -0.24209881078324136, -0.7187411364165457, 0.7843397158856424, 0.9492703883764277, -1.4175770526824665, 0.976216313745276, -0.09738721582747667, 0.03824303192969658, 0.08487090854070689, -0.3555694137033145, -0.43021582871830466, -0.8634422539080007, -0.07823542896004865, 0.46710156939363956, -0.27258532360532084, 0.5332278734364819, 0.3667636379531798, -0.12930561126241646, -0.9090793541553011, 0.7319068237894726, 0.6945689283344683, 0.0811981685271086, -0.34603094997826367, -0.7338066649581518, -0.6324235427638178, -0.12864251607427202, -0.012508839186138876, 0.20254825851634628]}
Gen #4 scored 1.615385 pts: {'neurons': [6, 4, 4], 'weights': [0.43784581084268526, -0.10893886048454449, 0.301626204113574, 1.0783066308636204, 0.15746966191528422, -0.08384304997431946, -0.33135320073630015, -0.9572391920844134, 0.38399534678111713, 0.8152541464016692, -0.009182575870643417, -0.20397120236178257, -0.5711014970681765, -0.03882516989607976, -0.0853567763408517, -0.24561840044462024, -0.9755669669966534, 0.976216313745276, 0.7987037593751051, -0.6859420613223313, -0.37963210182615637, -0.927746423758954, -0.43021582871830466, 0.3717531916775585, -0.3054445415595701, 1.1779349329589535, -0.061159541219325986, 0.5332278734364819, 0.3667636379531798, -0.12930561126241646, -0.6419795335152585, -0.45434958419438964, 0.3254812509357494, 0.0811981685271086, -0.8088551480020724, 0.2345306909178706, -0.6324235427638178, -0.4813030312645279, 0.04653798462723202, 0.10965900652306237]}
Gen #5 scored 2.128205 pts: {'neurons': [6, 4, 4], 'weights': [0.43784581084268526, -0.10893886048454449, 0.301626204113574, 1.0783066308636204, 0.15746966191528422, -0.08384304997431946, -0.33135320073630015, -0.9572391920844134, 0.38399534678111713, 0.8152541464016692, -0.009182575870643417, -0.20397120236178257, -0.5711014970681765, -0.03882516989607976, -0.0853567763408517, -0.24561840044462024, -0.9755669669966534, 0.976216313745276, 0.7987037593751051, -0.6859420613223313, -0.37963210182615637, -0.927746423758954, -0.43021582871830466, 0.3717531916775585, -0.3054445415595701, 1.1779349329589535, -0.061159541219325986, 0.5332278734364819, 0.3667636379531798, -0.12930561126241646, -0.6419795335152585, -0.45434958419438964, 0.3254812509357494, 0.0811981685271086, -0.8088551480020724, 0.2345306909178706, -0.6324235427638178, -0.4813030312645279, 0.04653798462723202, 0.10965900652306237]}
Gen #6 scored 1.589744 pts: {'neurons': [6, 4, 4], 'weights': [0.43784581084268526, -0.10893886048454449, 0.301626204113574, 1.0783066308636204, 0.15746966191528422, -0.08384304997431946, -0.33135320073630015, -0.9572391920844134, 0.38399534678111713, 0.8152541464016692, -0.009182575870643417, -0.20397120236178257, -0.5711014970681765, -0.03882516989607976, -0.0853567763408517, -0.24561840044462024, -0.9755669669966534, 0.976216313745276, 0.7987037593751051, -0.6859420613223313, -0.37963210182615637, -0.927746423758954, -0.43021582871830466, 0.3717531916775585, -0.3054445415595701, 1.1779349329589535, -0.061159541219325986, 0.5332278734364819, 0.3667636379531798, -0.12930561126241646, -0.6419795335152585, -0.45434958419438964, 0.3254812509357494, 0.0811981685271086, -0.8088551480020724, 0.2345306909178706, -0.6324235427638178, -0.4813030312645279, 0.04653798462723202, 0.10965900652306237]}
Gen #7 scored 1.615385 pts: {'neurons': [6, 4, 4], 'weights': [0.43784581084268526, -0.16242559856728755, 0.8429350004563763, 0.5171592443791211, -0.5546716298873449, -0.47330671551284165, 0.3984657037954529, -0.6577945712987032, 0.12101097644968473, 1.2402113440483333, 0.47120778102564187, -0.39476585690025945, -0.029705382649758527, -0.03882516989607976, 0.7843397158856424, 0.5057917101123008, -1.4175770526824665, 0.976216313745276, 0.7724930299398804, 0.3019700566260938, 0.08487090854070689, -0.9282528762815498, -0.43021582871830466, -0.8634422539080007, -0.2966476764539623, 0.46710156939363956, -0.27258532360532084, 0.5332278734364819, 0.3667636379531798, -0.12930561126241646, -0.9090793541553011, 0.5030936338050487, 0.6945689283344683, 0.0811981685271086, -0.34603094997826367, 0.15779287124993757, -0.4240561632467099, -0.12864251607427202, -0.27944919857662753, 0.5045839044478849]}
Gen #8 scored 1.794872 pts: {'neurons': [6, 4, 4], 'weights': [0.43784581084268526, 0.3501788204718035, -0.6904326977934652, 0.9986519659471282, -0.2919922678294795, -0.9646277518651525, -0.1313716666107303, -1.3784967490568896, 0.12101097644968473, 0.3729165104076839, 0.47120778102564187, -0.39476585690025945, -0.3903963842822271, -0.03882516989607976, -0.4998803465936549, 0.9492703883764277, -1.1324299339295274, 1.139232677009492, 0.7724930299398804, -1.1389714553767407, -0.1921956326927271, -0.3555694137033145, -0.04445202846629359, -0.8634422539080007, 0.552794431537408, -0.15269440089944153, -0.27258532360532084, 0.5332278734364819, 0.3667636379531798, -0.12930561126241646, -1.0214118957488612, -0.45434958419438964, 0.6945689283344683, -1.5075173427259312, -0.17274014637543744, 0.4162747313188203, -0.6324235427638178, -0.5943461850132635, 0.4352171871831749, -0.11355709145384651]}
Gen #9 scored 1.820513 pts: {'neurons': [6, 4, 4], 'weights': [0.43784581084268526, 0.41022013697165627, -0.6888140301991252, 1.1233971567490244, -0.6671230442572447, -0.6098243612897247, 0.4756296075646631, -0.6577945712987032, -0.26849243728914174, 0.7992071133562307, 0.44427664940651934, 0.8503515482606752, -0.3940403358996891, -1.1746264087181664, -0.11797297448614463, 0.8278951186657487, -1.531093513224491, 1.4519437067884864, 0.7724930299398804, -0.05650433615344519, 0.08487090854070689, -0.9282528762815498, -0.234166852952306, 0.73282696621973, 1.0344167861112368, -0.7035322323783236, -0.27258532360532084, 1.2099856079771918, -0.19621483414081042, -0.12930561126241646, -0.9090793541553011, 0.5030936338050487, 0.2507237235268608, 0.21589746818047462, -0.17274014637543744, 0.5631764107790695, -0.23274109125121512, 0.0442519009850032, -0.15038629406560455, -0.268706200606865]}
Gen #10 scored 1.717949 pts: {'neurons': [6, 4, 4], 'weights': [0.43784581084268526, -0.13877474855911065, 0.32626299544253257, 1.0619081801891945, -0.2919922678294795, -0.9646277518651525, 0.04744540831757149, -0.6577945712987032, 0.12101097644968473, 0.8152541464016692, 0.47120778102564187, -0.39476585690025945, -0.24209881078324136, -0.7187411364165457, 0.7843397158856424, 0.6060537879938132, -1.4175770526824665, 0.976216313745276, -0.09738721582747667, 0.03824303192969658, 0.08487090854070689, -0.3555694137033145, -0.43021582871830466, -0.8634422539080007, -0.07823542896004865, -0.33483594375591474, -0.27258532360532084, 0.5332278734364819, 0.3667636379531798, -0.12930561126241646, -0.9090793541553011, 0.7319068237894726, 0.6945689283344683, -0.03082683081303672, -0.17274014637543744, 0.15779287124993757, -0.17274713741276693, -0.12864251607427202, 0.04653798462723202, -0.11409233206076497]}
